#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.967754   -0.967754           0
           2   -0.967501   -0.967627 8.93783e-05
           3   -0.976826   -0.970693   0.0025042
           4   -0.971738   -0.970954  0.00189171
           5   -0.971462   -0.971056  0.00151609
           6   -0.974446   -0.971621  0.00136466
           7   -0.972616   -0.971763  0.00117708
           8   -0.974936    -0.97216  0.00109473
           9     -0.9766   -0.972653  0.00107854
          10   -0.974643   -0.972852 0.000988879
          11   -0.973773   -0.972936 0.000902516
          12   -0.965523   -0.972318  0.00101696
          13   -0.975461    -0.97256 0.000967042
          14   -0.976274   -0.972825 0.000933641
          15   -0.978562   -0.973208 0.000946487
          16   -0.970946   -0.973066 0.000897828
          17   -0.978024   -0.973358 0.000891122
          18   -0.966837   -0.972996 0.000912289
          19   -0.976789   -0.973195 0.000885849
          20   -0.976504   -0.973361 0.000856866
