#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     2.05014     2.05014           0
           2     2.06688     2.05851   0.0059185
           3     2.02459      2.0472   0.0100383
           4     2.06997      2.0529  0.00899874
           5     2.03643      2.0496  0.00777851
           6     2.02025     2.04471  0.00787186
           7      2.0133     2.04022  0.00792347
           8     2.07819     2.04497  0.00823284
           9     2.08219      2.0491  0.00829191
          10     2.00721     2.04491  0.00845525
