#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.61103     1.61103           0
           2     1.61255     1.61179 0.000536058
           3     1.62978     1.61778  0.00490964
           4     1.61509     1.61711  0.00372821
           5     1.62653     1.61899  0.00342555
           6     1.61529     1.61838  0.00290981
           7     1.62619     1.61949  0.00269962
           8     1.61566     1.61901  0.00240439
           9     1.62823     1.62004  0.00234509
          10      1.6235     1.62038  0.00213593
