#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.03491    -5.03491           0
           2    -5.03681    -5.03586 0.000671089
           3    -5.05242    -5.04138  0.00453062
           4    -5.03988    -5.04101  0.00341344
           5    -5.04946     -5.0427   0.0031213
           6    -5.03921    -5.04211   0.0026546
           7    -5.04969     -5.0432  0.00248642
           8    -5.03863    -5.04263   0.0022402
           9    -5.05163    -5.04363  0.00220317
          10    -5.04692    -5.04396  0.00200733
