#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.07402     1.07402           0
           2     1.07503     1.07453 0.000357372
           3     1.08652     1.07852   0.0032731
           4     1.07673     1.07807  0.00248548
           5     1.08435     1.07933   0.0022837
           6     1.07686     1.07892  0.00193987
           7     1.08413     1.07966  0.00179975
           8      1.0771     1.07934  0.00160292
           9     1.08548     1.08002  0.00156339
          10     1.08233     1.08026  0.00142395
