# BLOCK:     DISTANCE:     ACTUAL_AVE_GOFR:
           3     3.42555    0.993622
           3     3.49018    0.989131
           3     3.55482      0.9935
           3     3.61945     0.99005
           3     3.68408    0.992494
           3     3.74872    0.992838
           3     3.81335    0.987442
           3     3.87798    0.990643
           3     3.94262    0.991364
           3     4.00725    0.991122
           3     4.07188    0.987971
           3     4.13651    0.988727
           3     4.20115    0.988549
           3     4.26578    0.984934
           3     4.33041    0.988335
           3     4.39505     0.98682
           3     4.45968    0.986335
           3     4.52431     0.98414
           3     4.58895    0.985475
           3     4.65358    0.988585
           3     4.71821     0.98671
           3     4.78285    0.987156
           3     4.84748    0.987614
           3     4.91211    0.988125
           3     4.97674     0.98363
           3     5.04138    0.986367
           3     5.10601    0.985573
           3     5.17064    0.987742
           3     5.23528     0.98769
           3     5.29991    0.991371
           3     5.36454    0.986548
           3     5.42918    0.988694
           3     5.49381    0.986503
           3     5.55844    0.988532
           3     5.62307     0.98411
           3     5.68771    0.984659
           3     5.75234    0.986094
           3     5.81697    0.987427
           3     5.88161    0.986916
           3     5.94624    0.985563
           3     6.01087    0.988884
           3     6.07551    0.989234
           3     6.14014     0.98463
           3     6.20477    0.984021
           3      6.2694    0.984848
           3     6.33404    0.986489
           3     6.39867    0.986555
           3      6.4633    0.984906
           4    0.064633           0
           4    0.129266           0
           4    0.193899           0
           4    0.258532           0
           4    0.323165           0
           4    0.387798           0
           4    0.452431           0
           4    0.517064           0
           4    0.581697           0
           4     0.64633           0
           4    0.710963           0
           4    0.775596           0
           4     0.84023           0
           4    0.904863 0.000598682
           4    0.969496    0.147963
           4     1.03413     1.08377
           4     1.09876     2.04396
           4     1.16339     2.30422
           4     1.22803      2.0937
           4     1.29266     1.84393
           4     1.35729     1.62815
           4     1.42193     1.47146
           4     1.48656     1.32822
           4     1.55119     1.24851
           4     1.61583     1.19038
           4     1.68046     1.14536
           4     1.74509     1.11514
           4     1.80973     1.08907
           4     1.87436     1.07154
           4     1.93899     1.06128
           4     2.00362     1.06088
           4     2.06826     1.06883
           4     2.13289     1.06091
           4     2.19752     1.05443
           4     2.26216     1.04688
           4     2.32679     1.04077
           4     2.39142     1.03161
           4     2.45606     1.02858
           4     2.52069     1.03103
           4     2.58532     1.02389
           4     2.64995     1.01784
           4     2.71459     1.01574
           4     2.77922     1.01415
           4     2.84385     1.00316
           4     2.90849     1.01106
           4     2.97312     1.00216
           4     3.03775     1.00202
           4     3.10239    0.997542
           4     3.16702    0.995984
           4     3.23165    0.996881
           4     3.29629     1.00101
           4     3.36092    0.987838
           4     3.42555    0.994877
           4     3.49018    0.992678
           4     3.55482    0.991629
           4     3.61945    0.993647
           4     3.68408    0.987543
           4     3.74872    0.991686
           4     3.81335    0.986878
           4     3.87798    0.990581
           4     3.94262    0.985879
           4     4.00725    0.990083
           4     4.07188    0.993219
           4     4.13651    0.986777
           4     4.20115    0.988772
           4     4.26578    0.992633
           4     4.33041    0.987101
           4     4.39505    0.985505
           4     4.45968    0.989866
           4     4.52431    0.986675
           4     4.58895    0.987915
           4     4.65358    0.987605
           4     4.71821    0.988924
           4     4.78285    0.986227
           4     4.84748     0.98659
           4     4.91211    0.984311
           4     4.97674    0.983096
           4     5.04138    0.986571
           4     5.10601    0.983437
           4     5.17064    0.985377
           4     5.23528    0.989526
           4     5.29991    0.987984
           4     5.36454    0.985144
           4     5.42918    0.988325
